"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/scott/Desktop/HBC In Progress/runstats/client/README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 32, 69
"/Users/scott/Desktop/HBC In Progress/runstats/client/package-lock.json", "JSON", 15412, 0, 0, 0, 0, 0, 0, 1, 15413
"/Users/scott/Desktop/HBC In Progress/runstats/client/package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/scott/Desktop/HBC In Progress/runstats/client/public/browserconfig.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/scott/Desktop/HBC In Progress/runstats/client/public/index.html", "HTML", 0, 0, 46, 0, 0, 0, 0, 1, 47
"/Users/scott/Desktop/HBC In Progress/runstats/client/public/manifest.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/scott/Desktop/HBC In Progress/runstats/client/public/safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 491, 0, 0, 1, 492
"/Users/scott/Desktop/HBC In Progress/runstats/client/public/site.webmanifest", "JSON", 19, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/App.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 2, 20
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/App.js", "JavaScript", 0, 0, 0, 49, 0, 0, 1, 8, 58
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/App.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/AuthHeader.js", "JavaScript", 0, 0, 0, 8, 0, 0, 1, 2, 11
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/ErrAlert.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/PrivateRoute.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 4, 25
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/PublicRoute.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 4, 25
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/StravaResponse.js", "JavaScript", 0, 0, 0, 34, 0, 0, 1, 5, 40
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/average.js", "JavaScript", 0, 0, 0, 80, 0, 0, 2, 4, 86
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/history.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 3, 6
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/helpers/prediction.js", "JavaScript", 0, 0, 0, 47, 0, 0, 2, 4, 53
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/layout/Navbar.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 5, 66
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/AnalyticsNav.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 3, 21
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/AnalyticsRoute.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 4, 42
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/Average.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 6, 45
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/Benchmarks.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 2, 18
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/Prediction.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 6, 48
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/average/MonthAverage.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 4, 80
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/average/WeekAverage.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 4, 82
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/average/YearAverage.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 4, 79
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/prediction/MonthPrediction.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 6, 93
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/prediction/WeekPrediction.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 6, 93
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/analytics/prediction/YearPrediction.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 6, 93
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/home/Home.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 2, 19
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/login/Login.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 8, 82
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/profile/DefaultProfile.js", "JavaScript", 0, 0, 0, 55, 0, 0, 10, 5, 70
"/Users/scott/Desktop/HBC In Progress/runstats/client/src/components/pages/profile/EditProfile.js", "JavaScript", 0, 0, 0, 144, 0, 0, 0, 8, 152
